M<->R containerM:['29814446'] | containerR:['69779891'] | not better, but acccepted. | T= 915720557.2 | Number: 1180
M<->R containerM:['36383131'] | containerR:['69779891'] | not better, but acccepted. | T= 914804836.7 | Number: 1180
M<->R containerM:['14225000'] | containerR:['69779891'] | not better, but acccepted. | T= 913890031.9 | Number: 1180
M<->R containerM:['55727514'] | containerR:['69779891'] | not better, but acccepted. | T= 912976141.8 | Number: 1180
M<->R containerM:['88959742'] | containerR:['69779891'] | not better, but acccepted. | T= 912063165.7 | Number: 1180
M<->R containerM:['67267550'] | containerR:['69779891'] | not better, but acccepted. | T= 911151102.5 | Number: 1180
M<->R containerM:['67242213'] | containerR:['69779891'] | not better, but acccepted. | T= 910239951.4 | Number: 1180
M<->R containerM:['78230787'] | containerR:['69779891'] | not better, but acccepted. | T= 909329711.5 | Number: 1180
M<->R containerM:['29774728'] | containerR:['69779891'] | not better, but acccepted. | T= 908420381.8 | Number: 1180
M<->R containerM:['52125356'] | containerR:['69779891'] | not better, but acccepted. | T= 907511961.4 | Number: 1180
M<->R containerM:['33678860'] | containerR:['69779891'] | not better, but acccepted. | T= 906604449.4 | Number: 1180
M<->R containerM:['55574779'] | containerR:['69779891'] | not better, but acccepted. | T= 905697845.0 | Number: 1180
M<->R containerM:['33737541'] | containerR:['69779891'] | not better, but acccepted. | T= 904792147.1 | Number: 1180
M<->R containerM:['58540707'] | containerR:['69779891'] | not better, but acccepted. | T= 903887355.0 | Number: 1180
M<->R containerM:['59375530'] | containerR:['69779891'] | not better, but acccepted. | T= 902983467.6 | Number: 1180
M<->R containerM:['84183931'] | containerR:['69779891'] | not better, but acccepted. | T= 902080484.1 | Number: 1180
M<->R containerM:['36618292'] | containerR:['69779891'] | not better, but acccepted. | T= 901178403.7 | Number: 1180
M<->R containerM:['52125146'] | containerR:['69779891'] | not better, but acccepted. | T= 900277225.3 | Number: 1180
M<->R containerM:['49629010'] | containerR:['69779891'] | not better, but acccepted. | T= 899376948.0 | Number: 1180
M<->R containerM:['91461661'] | containerR:['69779891'] | not better, but acccepted. | T= 898477571.1 | Number: 1180
M<->R containerM:['11803512'] | containerR:['69779891'] | not better, but acccepted. | T= 897579093.5 | Number: 1180
M<->R containerM:['80022960'] | containerR:['69779891'] | not better, but acccepted. | T= 896681514.4 | Number: 1180
M<->R containerM:['66203743'] | containerR:['69779891'] | not better, but acccepted. | T= 895784832.9 | Number: 1180
M<->R containerM:['17986347'] | containerR:['69779891'] | not better, but acccepted. | T= 894889048.1 | Number: 1180
M<->R containerM:['69585173'] | containerR:['69779891'] | not better, but acccepted. | T= 893994159.0 | Number: 1180
M<->R containerM:['35682674'] | containerR:['89767009'] | not better, but acccepted. | T= 893100164.9 | Number: 1180
M<->R containerM:['77318613'] | containerR:['89767009'] | better score! | T= 892207064.7 | Number: 1180
M<->R containerM:['31135353'] | containerR:['89767009'] | not better, but acccepted. | T= 891314857.6 | Number: 1180
M<->R containerM:['32420122'] | containerR:['89767009'] | not better, but acccepted. | T= 890423542.8 | Number: 1180
M<->R containerM:['51141664'] | containerR:['89767009'] | not better, but acccepted. | T= 889533119.2 | Number: 1180
M<->R containerM:['41209935'] | containerR:['89767009'] | better score! | T= 888643586.1 | Number: 1180
M<->R containerM:['49952036'] | containerR:['89767009'] | not better, but acccepted. | T= 887754942.5 | Number: 1180
M<->R containerM:['80990180'] | containerR:['89767009'] | not better, but acccepted. | T= 886867187.6 | Number: 1180
M<->R containerM:['60538052'] | containerR:['89767009'] | not better, but acccepted. | T= 885980320.4 | Number: 1180
M<->R containerM:['35307689'] | containerR:['89767009'] | not better, but acccepted. | T= 885094340.1 | Number: 1180
M<->R containerM:['49681971'] | containerR:['89767009'] | not better, but acccepted. | T= 884209245.7 | Number: 1180
M<->R containerM:['47296740'] | containerR:['89767009'] | better score! | T= 883325036.5 | Number: 1180
M<->R containerM:['59924243'] | containerR:['89767009'] | not better, but acccepted. | T= 882441711.5 | Number: 1180
M<->R containerM:['43613974'] | containerR:['89767009'] | not better, but acccepted. | T= 881559269.7 | Number: 1180
M<->R containerM:['80022960'] | containerR:['89767009'] | not better, but acccepted. | T= 880677710.5 | Number: 1180
M<->R containerM:['86003878'] | containerR:['89767009'] | not better, but acccepted. | T= 879797032.8 | Number: 1180
M<->R containerM:['73255162'] | containerR:['89767009'] | not better, but acccepted. | T= 878917235.7 | Number: 1180
M<->R containerM:['12553642'] | containerR:['89767009'] | not better, but acccepted. | T= 878038318.5 | Number: 1180
M<->R containerM:['13010337'] | containerR:['89767009'] | better score! | T= 877160280.2 | Number: 1180
M<->R containerM:['18857511'] | containerR:['89767009'] | not better, but acccepted. | T= 876283119.9 | Number: 1180
M<->R containerM:['46805241'] | containerR:['75425362', '89767009'] | not better, but acccepted. | T= 875406836.8 | Number: 1180
M<->R containerM:['71808745'] | containerR:['67238129'] | not better, but acccepted. | T= 874531429.9 | Number: 1180
M<->R containerM:['95116045'] | containerR:['67238129'] | not better, but acccepted. | T= 873656898.5 | Number: 1180
M<->R containerM:['82092320'] | containerR:['67238129'] | not better, but acccepted. | T= 872783241.6 | Number: 1180
M<->R containerM:['92995273'] | containerR:['40202417', '67238129'] | not better, but acccepted. | T= 871910458.4 | Number: 1180
M<->R containerM:['45687925'] | containerR:['42457676'] | better score! | T= 871038547.9 | Number: 1180
M<->R containerM:['79994496'] | containerR:['42457676'] | not better, but acccepted. | T= 870167509.4 | Number: 1180
M<->R containerM:['87623514'] | containerR:['42457676'] | better score! | T= 869297341.9 | Number: 1180
M<->R containerM:['80945602'] | containerR:['42457676'] | not better, but acccepted. | T= 868428044.5 | Number: 1180
M<->R containerM:['28337206'] | containerR:['42457676'] | not better, but acccepted. | T= 867559616.5 | Number: 1180
M<->R containerM:['71302633'] | containerR:['42457676'] | not better, but acccepted. | T= 866692056.9 | Number: 1180
M<->R containerM:['30277682'] | containerR:['42457676'] | not better, but acccepted. | T= 865825364.8 | Number: 1180
M<->R containerM:['78226997'] | containerR:['42457676'] | not better, but acccepted. | T= 864959539.4 | Number: 1180
M<->R containerM:['30638449'] | containerR:['42457676'] | not better, but acccepted. | T= 864094579.9 | Number: 1180
M<->R containerM:['39640624'] | containerR:['42457676'] | better score! | T= 863230485.3 | Number: 1180
M<->R containerM:['40038408'] | containerR:['42457676'] | not better, but acccepted. | T= 862367254.8 | Number: 1180
M<->R containerM:['91742888'] | containerR:['42457676'] | not better, but acccepted. | T= 861504887.6 | Number: 1180
M<->R containerM:['80022960'] | containerR:['42457676'] | not better, but acccepted. | T= 860643382.7 | Number: 1180
M<->R containerM:['22838831'] | containerR:['42457676'] | not better, but acccepted. | T= 859782739.3 | Number: 1180
M<->R containerM:['55533805'] | containerR:['42457676'] | not better, but acccepted. | T= 858922956.6 | Number: 1180
M<->R containerM:['63963264'] | containerR:['42457676'] | better score! | T= 858064033.6 | Number: 1180
M<->R containerM:['61562748'] | containerR:['42457676'] | not better, but acccepted. | T= 857205969.6 | Number: 1180
M<->R containerM:['82698950'] | containerR:['42457676'] | not better, but acccepted. | T= 856348763.6 | Number: 1180
M<->R containerM:['67267550'] | containerR:['42457676'] | not better, but acccepted. | T= 855492414.8 | Number: 1180
M<->R containerM:['62413914'] | containerR:['42457676'] | not better, but acccepted. | T= 854636922.4 | Number: 1180
M<->R containerM:['36618292'] | containerR:['42457676'] | not better, but acccepted. | T= 853782285.5 | Number: 1180
M<->R containerM:['44641469'] | containerR:['42457676'] | not better, but acccepted. | T= 852928503.2 | Number: 1180
M<->R containerM:['43053426'] | containerR:['42457676'] | not better, but acccepted. | T= 852075574.7 | Number: 1180
M<->R containerM:['62019433'] | containerR:['42457676'] | not better, but acccepted. | T= 851223499.1 | Number: 1180
M<->R containerM:['37968269'] | containerR:['42457676'] | not better, but acccepted. | T= 850372275.6 | Number: 1180
M<->R containerM:['80902079'] | containerR:['42457676'] | better score! | T= 849521903.4 | Number: 1180
M<->R containerM:['81463842'] | containerR:['42457676'] | not better, but acccepted. | T= 848672381.5 | Number: 1180
M<->R containerM:['64540565'] | containerR:['42457676'] | not better, but acccepted. | T= 847823709.1 | Number: 1180
M<->R containerM:['47698539'] | containerR:['42457676'] | not better, but acccepted. | T= 846975885.4 | Number: 1180
M<->R containerM:['25426875'] | containerR:['42457676'] | not better, but acccepted. | T= 846128909.5 | Number: 1180
M<->R containerM:['42818340'] | containerR:['42457676'] | not better, but acccepted. | T= 845282780.6 | Number: 1180
M<->R containerM:['23361285'] | containerR:['42457676'] | not better, but acccepted. | T= 844437497.8 | Number: 1180
M<->R containerM:['34949846'] | containerR:['42457676'] | better score! | T= 843593060.3 | Number: 1180
M<->R containerM:['20580121'] | containerR:['42457676'] | not better, but acccepted. | T= 842749467.2 | Number: 1180
M<->R containerM:['37968269'] | containerR:['42457676'] | not better, but acccepted. | T= 841906717.8 | Number: 1180
M<->R containerM:['71048862'] | containerR:['42457676'] | not better, but acccepted. | T= 841064811.0 | Number: 1180
M<->R containerM:['55574779'] | containerR:['42457676'] | not better, but acccepted. | T= 840223746.2 | Number: 1180
M<->R containerM:['49629010'] | containerR:['42457676'] | better score! | T= 839383522.5 | Number: 1180
M<->R containerM:['28337206'] | containerR:['42457676'] | not better, but acccepted. | T= 838544139.0 | Number: 1180
M<->R containerM:['59255257'] | containerR:['42457676'] | not better, but acccepted. | T= 837705594.8 | Number: 1180
M<->R containerM:['76304539'] | containerR:['42457676'] | not better, but acccepted. | T= 836867889.2 | Number: 1180
M<->R containerM:['51281873'] | containerR:['42457676'] | not better, but acccepted. | T= 836031021.3 | Number: 1180
M<->R containerM:['43053426'] | containerR:['42457676'] | not better, but acccepted. | T= 835194990.3 | Number: 1180
M<->R containerM:['46586113'] | containerR:['42457676'] | not better, but acccepted. | T= 834359795.3 | Number: 1180
M<->R containerM:['20006182'] | containerR:['42457676'] | not better, but acccepted. | T= 833525435.5 | Number: 1180
M<->R containerM:['33834677'] | containerR:['42457676'] | not better, but acccepted. | T= 832691910.1 | Number: 1180
M<->R containerM:['62540222'] | containerR:['42457676'] | better score! | T= 831859218.2 | Number: 1180
M<->R containerM:['82698950'] | containerR:['42457676'] | not better, but acccepted. | T= 831027359.0 | Number: 1180
M<->R containerM:['43921030'] | containerR:['42457676'] | not better, but acccepted. | T= 830196331.6 | Number: 1180
M<->R containerM:['49681971'] | containerR:['42457676'] | not better, but acccepted. | T= 829366135.3 | Number: 1180
M<->R containerM:['92975993'] | containerR:['42457676'] | better score! | T= 828536769.2 | Number: 1180
M<->R containerM:['85845422'] | containerR:['42457676'] | not better, but acccepted. | T= 827708232.4 | Number: 1180
M<->R containerM:['11275648'] | containerR:['42457676'] | not better, but acccepted. | T= 826880524.1 | Number: 1180
M<->R containerM:['32209043'] | containerR:['42457676'] | better score! | T= 826053643.6 | Number: 1180
M<->R containerM:['88016312'] | containerR:['42457676'] | not better, but acccepted. | T= 825227590.0 | Number: 1180
M<->R containerM:['59740099'] | containerR:['42457676'] | not better, but acccepted. | T= 824402362.4 | Number: 1180
M<->R containerM:['58587384'] | containerR:['42457676'] | not better, but acccepted. | T= 823577960.0 | Number: 1180
M<->R containerM:['91838847'] | containerR:['42457676'] | better score! | T= 822754382.1 | Number: 1180
M<->R containerM:['80902079'] | containerR:['42457676'] | not better, but acccepted. | T= 821931627.7 | Number: 1180
M<->R containerM:['36618292'] | containerR:['42457676'] | not better, but acccepted. | T= 821109696.1 | Number: 1180
M<->R containerM:['93707915'] | containerR:['42457676'] | not better, but acccepted. | T= 820288586.4 | Number: 1180
M<->R containerM:['23126002'] | containerR:['42457676'] | not better, but acccepted. | T= 819468297.8 | Number: 1180
M<->R containerM:['27656370'] | containerR:['42457676'] | not better, but acccepted. | T= 818648829.5 | Number: 1180
M<->R containerM:['45380380'] | containerR:['42457676'] | not better, but acccepted. | T= 817830180.6 | Number: 1180
M<->R containerM:['36383131'] | containerR:['42457676'] | not better, but acccepted. | T= 817012350.5 | Number: 1180
M<->R containerM:['11639253'] | containerR:['42457676'] | not better, but acccepted. | T= 816195338.1 | Number: 1180
M<->R containerM:['35682674'] | containerR:['42457676'] | not better, but acccepted. | T= 815379142.8 | Number: 1180
M<->R containerM:['37350569'] | containerR:['42457676'] | not better, but acccepted. | T= 814563763.6 | Number: 1180
M<->R containerM:['87111939'] | containerR:['42457676'] | not better, but acccepted. | T= 813749199.9 | Number: 1180
M<->R containerM:['71766932'] | containerR:['42457676'] | not better, but acccepted. | T= 812935450.7 | Number: 1180
M<->R containerM:['32209043'] | containerR:['42457676'] | better score! | T= 812122515.2 | Number: 1180
M<->R containerM:['80331798'] | containerR:['42457676'] | not better, but acccepted. | T= 811310392.7 | Number: 1180
