M<->R containerM:['54378683'] | containerR:['86473193'] | not better, but acccepted. | T= 912063165.7 | Number: 293
M<->R containerM:['62986822'] | containerR:['86473193'] | not better, but acccepted. | T= 911151102.5 | Number: 293
M<->R containerM:['23727728'] | containerR:['86473193'] | better score! | T= 910239951.4 | Number: 293
M<->R containerM:['54188577'] | containerR:['86473193'] | not better, but acccepted. | T= 909329711.5 | Number: 293
M<->R containerM:['74224322'] | containerR:['86473193'] | better score! | T= 908420381.8 | Number: 293
M<->R containerM:['96542602'] | containerR:['86473193'] | not better, but acccepted. | T= 907511961.4 | Number: 293
M<->R containerM:['57479503'] | containerR:['86473193'] | not better, but acccepted. | T= 906604449.4 | Number: 293
M<->R containerM:['93765422'] | containerR:['86473193'] | not better, but acccepted. | T= 905697845.0 | Number: 293
M<->R containerM:['74322802'] | containerR:['86473193'] | not better, but acccepted. | T= 904792147.1 | Number: 293
M<->R containerM:['42127697'] | containerR:['86473193'] | not better, but acccepted. | T= 903887355.0 | Number: 293
M<->R containerM:['49016561'] | containerR:['86473193'] | not better, but acccepted. | T= 902983467.6 | Number: 293
M<->R containerM:['76400344'] | containerR:['86473193'] | not better, but acccepted. | T= 902080484.1 | Number: 293
M<->R containerM:['54188577'] | containerR:['86473193'] | not better, but acccepted. | T= 901178403.7 | Number: 293
M<->R containerM:['91708989'] | containerR:['86473193'] | not better, but acccepted. | T= 900277225.3 | Number: 293
M<->R containerM:['14710252'] | containerR:['86473193'] | better score! | T= 899376948.0 | Number: 293
M<->R containerM:['93047688'] | containerR:['86473193'] | not better, but acccepted. | T= 898477571.1 | Number: 293
M<->R containerM:['70944508'] | containerR:['86473193'] | not better, but acccepted. | T= 897579093.5 | Number: 293
M<->R containerM:['85296118'] | containerR:['86473193'] | not better, but acccepted. | T= 896681514.4 | Number: 293
M<->R containerM:['29183252'] | containerR:['86473193'] | not better, but acccepted. | T= 895784832.9 | Number: 293
M<->R containerM:['89357542'] | containerR:['86473193'] | not better, but acccepted. | T= 894889048.1 | Number: 293
M<->R containerM:['81407369'] | containerR:['86473193'] | not better, but acccepted. | T= 893994159.0 | Number: 293
M<->R containerM:['90748645'] | containerR:['86473193'] | not better, but acccepted. | T= 893100164.9 | Number: 293
M<->R containerM:['73831628'] | containerR:['86473193'] | not better, but acccepted. | T= 892207064.7 | Number: 293
M<->R containerM:['90629724'] | containerR:['86473193'] | not better, but acccepted. | T= 891314857.6 | Number: 293
M<->R containerM:['24915064'] | containerR:['86473193'] | not better, but acccepted. | T= 890423542.8 | Number: 293
M<->R containerM:['81407369'] | containerR:['86473193'] | not better, but acccepted. | T= 889533119.2 | Number: 293
M<->R containerM:['93047688'] | containerR:['86473193'] | not better, but acccepted. | T= 888643586.1 | Number: 293
M<->R containerM:['95324547'] | containerR:['86473193'] | not better, but acccepted. | T= 887754942.5 | Number: 293
M<->R containerM:['56017398'] | containerR:['86473193'] | better score! | T= 886867187.6 | Number: 293
M<->R containerM:['95756060'] | containerR:['86473193'] | not better, but acccepted. | T= 885980320.4 | Number: 293
M<->R containerM:['56517394'] | containerR:['86473193'] | not better, but acccepted. | T= 885094340.1 | Number: 293
M<->R containerM:['28954585'] | containerR:['86473193'] | better score! | T= 884209245.7 | Number: 293
M<->R containerM:['81407369'] | containerR:['86473193'] | not better, but acccepted. | T= 883325036.5 | Number: 293
M<->R containerM:['85296118'] | containerR:['86473193'] | not better, but acccepted. | T= 882441711.5 | Number: 293
M<->R containerM:['38577486'] | containerR:['86473193'] | not better, but acccepted. | T= 881559269.7 | Number: 293
M<->R containerM:['62986822'] | containerR:['86473193'] | not better, but acccepted. | T= 880677710.5 | Number: 293
M<->R containerM:['74224322'] | containerR:['86473193'] | better score! | T= 879797032.8 | Number: 293
M<->R containerM:['57479503'] | containerR:['86473193'] | not better, but acccepted. | T= 878917235.7 | Number: 293
M<->R containerM:['59856278'] | containerR:['86473193'] | not better, but acccepted. | T= 878038318.5 | Number: 293
M<->R containerM:['65682155'] | containerR:['86473193'] | not better, but acccepted. | T= 877160280.2 | Number: 293
M<->R containerM:['87981724'] | containerR:['86473193'] | better score! | T= 876283119.9 | Number: 293
M<->R containerM:['45391366'] | containerR:['86473193'] | not better, but acccepted. | T= 875406836.8 | Number: 293
M<->R containerM:['24915064'] | containerR:['86473193'] | not better, but acccepted. | T= 874531429.9 | Number: 293
M<->R containerM:['26695468'] | containerR:['86473193'] | not better, but acccepted. | T= 873656898.5 | Number: 293
M<->R containerM:['73085672'] | containerR:['86473193'] | not better, but acccepted. | T= 872783241.6 | Number: 293
M<->R containerM:['88349496'] | containerR:['86473193'] | not better, but acccepted. | T= 871910458.4 | Number: 293
M<->R containerM:['11830395'] | containerR:['86473193'] | not better, but acccepted. | T= 871038547.9 | Number: 293
M<->R containerM:['92664960'] | containerR:['86473193'] | not better, but acccepted. | T= 870167509.4 | Number: 293
M<->R containerM:['90139478'] | containerR:['86473193'] | better score! | T= 869297341.9 | Number: 293
M<->R containerM:['25172159'] | containerR:['86473193'] | not better, but acccepted. | T= 868428044.5 | Number: 293
M<->R containerM:['73831628'] | containerR:['86473193'] | not better, but acccepted. | T= 867559616.5 | Number: 293
M<->R containerM:['22230853'] | containerR:['86473193'] | better score! | T= 866692056.9 | Number: 293
M<->R containerM:['43118612'] | containerR:['86473193'] | not better, but acccepted. | T= 865825364.8 | Number: 293
M<->R containerM:['93765422'] | containerR:['86473193'] | not better, but acccepted. | T= 864959539.4 | Number: 293
M<->R containerM:['93765422'] | containerR:['86473193'] | not better, but acccepted. | T= 864094579.9 | Number: 293
M<->R containerM:['25172159'] | containerR:['86473193'] | not better, but acccepted. | T= 863230485.3 | Number: 293
M<->R containerM:['14710252'] | containerR:['86473193'] | better score! | T= 862367254.8 | Number: 293
M<->R containerM:['61095390'] | containerR:['86473193'] | not better, but acccepted. | T= 861504887.6 | Number: 293
M<->R containerM:['96542602'] | containerR:['86473193'] | not better, but acccepted. | T= 860643382.7 | Number: 293
M<->R containerM:['76400344'] | containerR:['52007731'] | not better, but acccepted. | T= 859782739.3 | Number: 293
M<->R containerM:['45391366'] | containerR:['52007731'] | not better, but acccepted. | T= 858922956.6 | Number: 293
M<->R containerM:['95756060'] | containerR:['52007731'] | better score! | T= 858064033.6 | Number: 293
M<->R containerM:['70944508'] | containerR:['52007731'] | not better, but acccepted. | T= 857205969.6 | Number: 293
M<->R containerM:['78304670'] | containerR:['17511338', '96879739', '52007731'] | not better, but acccepted. | T= 856348763.6 | Number: 293
M<->R containerM:['94230879'] | containerR:['88960928'] | not better, but acccepted. | T= 855492414.8 | Number: 293
M<->R containerM:['76803925'] | containerR:['88960928'] | better score! | T= 854636922.4 | Number: 293
M<->R containerM:['11830395'] | containerR:['88960928'] | not better, but acccepted. | T= 853782285.5 | Number: 293
M<->R containerM:['26695468'] | containerR:['88960928'] | better score! | T= 852928503.2 | Number: 293
M<->R containerM:['89252984'] | containerR:['88960928'] | not better, but acccepted. | T= 852075574.7 | Number: 293
M<->R containerM:['28954585'] | containerR:['88960928'] | not better, but acccepted. | T= 851223499.1 | Number: 293
M<->R containerM:['96542602'] | containerR:['88960928'] | better score! | T= 850372275.6 | Number: 293
M<->R containerM:['27831698'] | containerR:['88960928'] | not better, but acccepted. | T= 849521903.4 | Number: 293
M<->R containerM:['76400344'] | containerR:['88960928'] | not better, but acccepted. | T= 848672381.5 | Number: 293
M<->R containerM:['56517394'] | containerR:['88960928'] | better score! | T= 847823709.1 | Number: 293
M<->R containerM:['74224322'] | containerR:['88960928'] | not better, but acccepted. | T= 846975885.4 | Number: 293
