M<->R containerM:['88708842'] | containerR:['14753231'] | not better, but acccepted. | T= 822754382.1 | Number: 422
M<->R containerM:['66042029'] | containerR:['14753231'] | better score! | T= 821931627.7 | Number: 422
M<->R containerM:['27414683'] | containerR:['14753231'] | not better, but acccepted. | T= 821109696.1 | Number: 422
M<->R containerM:['36207520'] | containerR:['14753231'] | not better, but acccepted. | T= 820288586.4 | Number: 422
M<->R containerM:['17023482'] | containerR:['14753231'] | not better, but acccepted. | T= 819468297.8 | Number: 422
M<->R containerM:['24288677'] | containerR:['14753231'] | not better, but acccepted. | T= 818648829.5 | Number: 422
M<->R containerM:['19228099'] | containerR:['14753231'] | better score! | T= 817830180.6 | Number: 422
M<->R containerM:['73085672'] | containerR:['14753231'] | not better, but acccepted. | T= 817012350.5 | Number: 422
M<->R containerM:['90139478'] | containerR:['14753231'] | better score! | T= 816195338.1 | Number: 422
M<->R containerM:['11081410'] | containerR:['14753231'] | not better, but acccepted. | T= 815379142.8 | Number: 422
M<->R containerM:['28502512'] | containerR:['14753231'] | not better, but acccepted. | T= 814563763.6 | Number: 422
M<->R containerM:['10465146'] | containerR:['14753231'] | not better, but acccepted. | T= 813749199.9 | Number: 422
M<->R containerM:['24288677'] | containerR:['14753231'] | not better, but acccepted. | T= 812935450.7 | Number: 422
M<->R containerM:['41347415'] | containerR:['14753231'] | better score! | T= 812122515.2 | Number: 422
M<->R containerM:['74318249'] | containerR:['14753231'] | not better, but acccepted. | T= 811310392.7 | Number: 422
M<->R containerM:['62541965'] | containerR:['14753231'] | better score! | T= 810499082.3 | Number: 422
M<->R containerM:['19228099'] | containerR:['14753231'] | not better, but acccepted. | T= 809688583.2 | Number: 422
M<->R containerM:['56444787'] | containerR:['14753231'] | not better, but acccepted. | T= 808878894.6 | Number: 422
M<->R containerM:['67144693'] | containerR:['14753231'] | not better, but acccepted. | T= 808070015.8 | Number: 422
M<->R containerM:['71875611'] | containerR:['14753231'] | not better, but acccepted. | T= 807261945.7 | Number: 422
M<->R containerM:['36718768'] | containerR:['14753231'] | not better, but acccepted. | T= 806454683.8 | Number: 422
M<->R containerM:['22098853'] | containerR:['14753231'] | not better, but acccepted. | T= 805648229.1 | Number: 422
M<->R containerM:['19784887'] | containerR:['14753231'] | better score! | T= 804842580.9 | Number: 422
M<->R containerM:['65395765'] | containerR:['14753231'] | not better, but acccepted. | T= 804037738.3 | Number: 422
M<->R containerM:['59741775'] | containerR:['14753231'] | not better, but acccepted. | T= 803233700.6 | Number: 422
M<->R containerM:['41226346'] | containerR:['14753231'] | better score! | T= 802430466.9 | Number: 422
M<->R containerM:['60919573'] | containerR:['14753231'] | not better, but acccepted. | T= 801628036.4 | Number: 422
M<->R containerM:['28866388'] | containerR:['14753231'] | better score! | T= 800826408.4 | Number: 422
M<->R containerM:['19000819'] | containerR:['14753231'] | not better, but acccepted. | T= 800025581.9 | Number: 422
M<->R containerM:['77301913'] | containerR:['14753231'] | not better, but acccepted. | T= 799225556.4 | Number: 422
M<->R containerM:['19784887'] | containerR:['14753231'] | not better, but acccepted. | T= 798426330.8 | Number: 422
M<->R containerM:['67010814'] | containerR:['14753231'] | not better, but acccepted. | T= 797627904.5 | Number: 422
M<->R containerM:['45216707'] | containerR:['14753231'] | not better, but acccepted. | T= 796830276.6 | Number: 422
M<->R containerM:['88821066'] | containerR:['14753231'] | not better, but acccepted. | T= 796033446.3 | Number: 422
M<->R containerM:['39883811'] | containerR:['14753231'] | not better, but acccepted. | T= 795237412.9 | Number: 422
M<->R containerM:['45216707'] | containerR:['14753231'] | better score! | T= 794442175.4 | Number: 422
M<->R containerM:['69538525'] | containerR:['14753231'] | not better, but acccepted. | T= 793647733.3 | Number: 422
M<->R containerM:['23664583'] | containerR:['14753231'] | better score! | T= 792854085.5 | Number: 422
M<->R containerM:['57086421'] | containerR:['14753231'] | not better, but acccepted. | T= 792061231.4 | Number: 422
M<->R containerM:['52729504'] | containerR:['14753231'] | not better, but acccepted. | T= 791269170.2 | Number: 422
M<->R containerM:['36207520'] | containerR:['14753231'] | not better, but acccepted. | T= 790477901.0 | Number: 422
M<->R containerM:['73085672'] | containerR:['14753231'] | not better, but acccepted. | T= 789687423.1 | Number: 422
M<->R containerM:['59741775'] | containerR:['14753231'] | not better, but acccepted. | T= 788897735.7 | Number: 422
